position,Frequency_Hz,Magnitude_dB,Phase_deg,Color,STI,STI_Degradation_%
TheHub-MidRoom,22.39,-26.28,-34.06,#9467bd,0.79,16.46
TheHub-MidRoom,22.47,-24.98,-33.98,#9467bd,0.79,16.46
TheHub-MidRoom,22.55,-24.72,-33.9,#9467bd,0.79,16.46
TheHub-MidRoom,22.63,-25.06,-33.82,#9467bd,0.79,16.46
TheHub-MidRoom,22.72,-26.18,-33.75,#9467bd,0.79,16.46
TheHub-MidRoom,22.8,-24.7,-33.67,#9467bd,0.79,16.46
TheHub-MidRoom,22.88,-25.25,-33.58,#9467bd,0.79,16.46
TheHub-MidRoom,22.96,-24.77,-33.5,#9467bd,0.79,16.46
TheHub-MidRoom,23.05,-25.51,-33.42,#9467bd,0.79,16.46
TheHub-MidRoom,23.13,-24.74,-33.34,#9467bd,0.79,16.46
TheHub-MidRoom,23.22,-23.9,-33.26,#9467bd,0.79,16.46
TheHub-MidRoom,23.3,-25.14,-33.17,#9467bd,0.79,16.46
TheHub-MidRoom,23.39,-25.29,-33.09,#9467bd,0.79,16.46
TheHub-MidRoom,23.47,-24.94,-33.0,#9467bd,0.79,16.46
TheHub-MidRoom,23.56,-24.51,-32.91,#9467bd,0.79,16.46
TheHub-MidRoom,23.64,-23.73,-32.83,#9467bd,0.79,16.46
TheHub-MidRoom,23.73,-24.68,-32.74,#9467bd,0.79,16.46
TheHub-MidRoom,23.82,-25.05,-32.65,#9467bd,0.79,16.46
TheHub-MidRoom,23.9,-24.55,-32.56,#9467bd,0.79,16.46
TheHub-MidRoom,23.99,-24.13,-32.47,#9467bd,0.79,16.46
TheHub-MidRoom,24.08,-24.48,-32.38,#9467bd,0.79,16.46
TheHub-MidRoom,24.16,-25.33,-32.29,#9467bd,0.79,16.46
TheHub-MidRoom,24.25,-24.47,-32.2,#9467bd,0.79,16.46
TheHub-MidRoom,24.34,-25.22,-32.1,#9467bd,0.79,16.46
TheHub-MidRoom,24.43,-25.56,-32.01,#9467bd,0.79,16.46
TheHub-MidRoom,24.52,-24.58,-31.91,#9467bd,0.79,16.46
TheHub-MidRoom,24.61,-24.92,-31.82,#9467bd,0.79,16.46
TheHub-MidRoom,24.7,-24.34,-31.72,#9467bd,0.79,16.46
TheHub-MidRoom,24.79,-25.06,-31.62,#9467bd,0.79,16.46
TheHub-MidRoom,24.88,-24.05,-31.53,#9467bd,0.79,16.46
TheHub-MidRoom,24.97,-24.57,-31.43,#9467bd,0.79,16.46
TheHub-MidRoom,25.06,-24.96,-31.33,#9467bd,0.79,16.46
TheHub-MidRoom,25.15,-25.14,-31.23,#9467bd,0.79,16.46
TheHub-MidRoom,25.24,-24.97,-31.12,#9467bd,0.79,16.46
TheHub-MidRoom,25.33,-23.69,-31.02,#9467bd,0.79,16.46
TheHub-MidRoom,25.43,-23.95,-30.92,#9467bd,0.79,16.46
TheHub-MidRoom,25.52,-24.1,-30.81,#9467bd,0.79,16.46
TheHub-MidRoom,25.61,-25.56,-30.71,#9467bd,0.79,16.46
TheHub-MidRoom,25.71,-24.23,-30.6,#9467bd,0.79,16.46
TheHub-MidRoom,25.8,-25.07,-30.5,#9467bd,0.79,16.46
TheHub-MidRoom,25.89,-24.88,-30.39,#9467bd,0.79,16.46
TheHub-MidRoom,25.99,-24.09,-30.28,#9467bd,0.79,16.46
TheHub-MidRoom,26.08,-25.04,-30.17,#9467bd,0.79,16.46
TheHub-MidRoom,26.18,-23.35,-30.06,#9467bd,0.79,16.46
TheHub-MidRoom,26.27,-24.11,-29.95,#9467bd,0.79,16.46
TheHub-MidRoom,26.37,-24.31,-29.83,#9467bd,0.79,16.46
TheHub-MidRoom,26.47,-23.45,-29.72,#9467bd,0.79,16.46
TheHub-MidRoom,26.56,-24.74,-29.61,#9467bd,0.79,16.46
TheHub-MidRoom,26.66,-24.23,-29.49,#9467bd,0.79,16.46
TheHub-MidRoom,26.76,-24.02,-29.37,#9467bd,0.79,16.46
TheHub-MidRoom,26.85,-23.16,-29.26,#9467bd,0.79,16.46
TheHub-MidRoom,26.95,-24.72,-29.14,#9467bd,0.79,16.46
TheHub-MidRoom,27.05,-23.57,-29.02,#9467bd,0.79,16.46
TheHub-MidRoom,27.15,-24.35,-28.9,#9467bd,0.79,16.46
TheHub-MidRoom,27.25,-23.47,-28.78,#9467bd,0.79,16.46
TheHub-MidRoom,27.35,-23.98,-28.65,#9467bd,0.79,16.46
TheHub-MidRoom,27.45,-23.21,-28.53,#9467bd,0.79,16.46
TheHub-MidRoom,27.55,-23.9,-28.41,#9467bd,0.79,16.46
TheHub-MidRoom,27.65,-23.24,-28.28,#9467bd,0.79,16.46
TheHub-MidRoom,27.75,-24.06,-28.15,#9467bd,0.79,16.46
TheHub-MidRoom,27.85,-24.31,-28.03,#9467bd,0.79,16.46
TheHub-MidRoom,27.95,-23.13,-27.9,#9467bd,0.79,16.46
TheHub-MidRoom,28.05,-22.63,-27.77,#9467bd,0.79,16.46
TheHub-MidRoom,28.15,-23.73,-27.64,#9467bd,0.79,16.46
TheHub-MidRoom,28.26,-23.56,-27.5,#9467bd,0.79,16.46
TheHub-MidRoom,28.36,-22.95,-27.37,#9467bd,0.79,16.46
TheHub-MidRoom,28.46,-23.1,-27.24,#9467bd,0.79,16.46
TheHub-MidRoom,28.57,-23.02,-27.1,#9467bd,0.79,16.46
TheHub-MidRoom,28.67,-23.32,-26.96,#9467bd,0.79,16.46
TheHub-MidRoom,28.77,-23.31,-26.83,#9467bd,0.79,16.46
TheHub-MidRoom,28.88,-23.11,-26.69,#9467bd,0.79,16.46
TheHub-MidRoom,28.98,-23.03,-26.55,#9467bd,0.79,16.46
TheHub-MidRoom,29.09,-24.0,-26.41,#9467bd,0.79,16.46
TheHub-MidRoom,29.2,-23.36,-26.27,#9467bd,0.79,16.46
TheHub-MidRoom,29.3,-23.09,-26.12,#9467bd,0.79,16.46
TheHub-MidRoom,29.41,-23.2,-25.98,#9467bd,0.79,16.46
TheHub-MidRoom,29.52,-22.46,-25.83,#9467bd,0.79,16.46
TheHub-MidRoom,29.62,-23.22,-25.69,#9467bd,0.79,16.46
TheHub-MidRoom,29.73,-22.59,-25.54,#9467bd,0.79,16.46
TheHub-MidRoom,29.84,-23.04,-25.39,#9467bd,0.79,16.46
TheHub-MidRoom,29.95,-23.66,-25.24,#9467bd,0.79,16.46
TheHub-MidRoom,30.06,-22.99,-25.09,#9467bd,0.79,16.46
TheHub-MidRoom,30.17,-22.03,-24.93,#9467bd,0.79,16.46
TheHub-MidRoom,30.28,-22.51,-24.78,#9467bd,0.79,16.46
TheHub-MidRoom,30.39,-22.07,-24.63,#9467bd,0.79,16.46
TheHub-MidRoom,30.5,-23.08,-24.47,#9467bd,0.79,16.46
TheHub-MidRoom,30.61,-22.69,-24.31,#9467bd,0.79,16.46
TheHub-MidRoom,30.72,-22.14,-24.15,#9467bd,0.79,16.46
TheHub-MidRoom,30.83,-21.86,-23.99,#9467bd,0.79,16.46
TheHub-MidRoom,30.95,-22.73,-23.83,#9467bd,0.79,16.46
TheHub-MidRoom,31.06,-22.69,-23.67,#9467bd,0.79,16.46
TheHub-MidRoom,31.17,-23.86,-23.51,#9467bd,0.79,16.46
TheHub-MidRoom,31.29,-22.1,-23.34,#9467bd,0.79,16.46
TheHub-MidRoom,31.4,-22.37,-23.17,#9467bd,0.79,16.46
TheHub-MidRoom,31.51,-21.69,-23.01,#9467bd,0.79,16.46
TheHub-MidRoom,31.63,-22.72,-22.84,#9467bd,0.79,16.46
TheHub-MidRoom,31.74,-21.62,-22.67,#9467bd,0.79,16.46
TheHub-MidRoom,31.86,-22.06,-22.5,#9467bd,0.79,16.46
TheHub-MidRoom,31.98,-21.87,-22.32,#9467bd,0.79,16.46
TheHub-MidRoom,32.09,-23.26,-22.15,#9467bd,0.79,16.46
TheHub-MidRoom,32.21,-21.59,-21.97,#9467bd,0.79,16.46
TheHub-MidRoom,32.33,-22.54,-21.8,#9467bd,0.79,16.46
TheHub-MidRoom,32.44,-20.79,-21.62,#9467bd,0.79,16.46
TheHub-MidRoom,32.56,-20.89,-21.44,#9467bd,0.79,16.46
TheHub-MidRoom,32.68,-21.09,-21.26,#9467bd,0.79,16.46
TheHub-MidRoom,32.8,-22.6,-21.08,#9467bd,0.79,16.46
TheHub-MidRoom,32.92,-21.23,-20.9,#9467bd,0.79,16.46
TheHub-MidRoom,33.04,-21.68,-20.71,#9467bd,0.79,16.46
TheHub-MidRoom,33.16,-22.64,-20.52,#9467bd,0.79,16.46
TheHub-MidRoom,33.28,-20.7,-20.34,#9467bd,0.79,16.46
TheHub-MidRoom,33.4,-21.45,-20.15,#9467bd,0.79,16.46
TheHub-MidRoom,33.52,-21.67,-19.96,#9467bd,0.79,16.46
TheHub-MidRoom,33.65,-22.18,-19.77,#9467bd,0.79,16.46
TheHub-MidRoom,33.77,-21.51,-19.58,#9467bd,0.79,16.46
TheHub-MidRoom,33.89,-21.1,-19.38,#9467bd,0.79,16.46
TheHub-MidRoom,34.02,-21.31,-19.19,#9467bd,0.79,16.46
TheHub-MidRoom,34.14,-21.48,-18.99,#9467bd,0.79,16.46
TheHub-MidRoom,34.26,-21.49,-18.79,#9467bd,0.79,16.46
TheHub-MidRoom,34.39,-20.82,-18.59,#9467bd,0.79,16.46
TheHub-MidRoom,34.51,-20.46,-18.39,#9467bd,0.79,16.46
TheHub-MidRoom,34.64,-22.08,-18.19,#9467bd,0.79,16.46
TheHub-MidRoom,34.77,-21.28,-17.99,#9467bd,0.79,16.46
TheHub-MidRoom,34.89,-20.3,-17.78,#9467bd,0.79,16.46
TheHub-MidRoom,35.02,-21.61,-13.84,#9467bd,0.79,16.46
TheHub-MidRoom,35.15,-20.71,-13.58,#9467bd,0.79,16.46
TheHub-MidRoom,35.28,-20.89,-13.31,#9467bd,0.79,16.46
TheHub-MidRoom,35.4,-21.77,-13.05,#9467bd,0.79,16.46
TheHub-MidRoom,35.53,-21.2,-12.78,#9467bd,0.79,16.46
TheHub-MidRoom,35.66,-20.75,-12.51,#9467bd,0.79,16.46
TheHub-MidRoom,35.79,-20.78,-12.24,#9467bd,0.79,16.46
TheHub-MidRoom,35.92,-20.92,-11.97,#9467bd,0.79,16.46
TheHub-MidRoom,36.05,-20.68,-11.69,#9467bd,0.79,16.46
TheHub-MidRoom,36.19,-21.25,-11.41,#9467bd,0.79,16.46
TheHub-MidRoom,36.32,-20.25,-11.13,#9467bd,0.79,16.46
TheHub-MidRoom,36.45,-20.79,-10.85,#9467bd,0.79,16.46
TheHub-MidRoom,36.58,-20.86,-10.57,#9467bd,0.79,16.46
TheHub-MidRoom,36.72,-20.86,-10.28,#9467bd,0.79,16.46
TheHub-MidRoom,36.85,-20.01,-9.99,#9467bd,0.79,16.46
TheHub-MidRoom,36.98,-20.24,-9.7,#9467bd,0.79,16.46
TheHub-MidRoom,37.12,-19.63,-9.4,#9467bd,0.79,16.46
TheHub-MidRoom,37.25,-20.63,-9.11,#9467bd,0.79,16.46
TheHub-MidRoom,37.39,-20.82,-8.81,#9467bd,0.79,16.46
TheHub-MidRoom,37.53,-20.65,-8.51,#9467bd,0.79,16.46
TheHub-MidRoom,37.66,-20.16,-8.2,#9467bd,0.79,16.46
TheHub-MidRoom,37.8,-19.83,-7.9,#9467bd,0.79,16.46
TheHub-MidRoom,37.94,-19.68,-7.59,#9467bd,0.79,16.46
TheHub-MidRoom,38.08,-19.09,-7.28,#9467bd,0.79,16.46
TheHub-MidRoom,38.21,-19.26,-6.96,#9467bd,0.79,16.46
TheHub-MidRoom,38.35,-20.52,-6.65,#9467bd,0.79,16.46
TheHub-MidRoom,38.49,-20.04,-6.33,#9467bd,0.79,16.46
TheHub-MidRoom,38.63,-18.92,-6.01,#9467bd,0.79,16.46
TheHub-MidRoom,38.77,-19.63,-5.69,#9467bd,0.79,16.46
TheHub-MidRoom,38.92,-20.01,-5.36,#9467bd,0.79,16.46
TheHub-MidRoom,39.06,-19.98,-5.04,#9467bd,0.79,16.46
TheHub-MidRoom,39.2,-19.33,-4.71,#9467bd,0.79,16.46
TheHub-MidRoom,39.34,-18.95,-4.38,#9467bd,0.79,16.46
TheHub-MidRoom,39.49,-18.68,-4.04,#9467bd,0.79,16.46
TheHub-MidRoom,39.63,-19.91,-3.7,#9467bd,0.79,16.46
TheHub-MidRoom,39.77,-19.89,-3.37,#9467bd,0.79,16.46
TheHub-MidRoom,39.92,-19.45,-3.02,#9467bd,0.79,16.46
TheHub-MidRoom,40.07,-18.88,-2.68,#9467bd,0.79,16.46
TheHub-MidRoom,40.21,-19.22,-2.33,#9467bd,0.79,16.46
TheHub-MidRoom,40.36,-18.47,-1.98,#9467bd,0.79,16.46
TheHub-MidRoom,40.5,-19.41,-1.63,#9467bd,0.79,16.46
TheHub-MidRoom,40.65,-19.83,-1.28,#9467bd,0.79,16.46
TheHub-MidRoom,40.8,-19.14,-0.92,#9467bd,0.79,16.46
TheHub-MidRoom,40.95,-19.46,-0.56,#9467bd,0.79,16.46
TheHub-MidRoom,41.1,-18.42,-0.2,#9467bd,0.79,16.46
TheHub-MidRoom,41.25,-18.63,0.16,#9467bd,0.79,16.46
TheHub-MidRoom,41.4,-19.57,0.53,#9467bd,0.79,16.46
TheHub-MidRoom,41.55,-18.88,0.89,#9467bd,0.79,16.46
TheHub-MidRoom,41.7,-17.78,1.26,#9467bd,0.79,16.46
TheHub-MidRoom,41.85,-18.87,1.64,#9467bd,0.79,16.46
TheHub-MidRoom,42.01,-18.65,2.01,#9467bd,0.79,16.46
TheHub-MidRoom,42.16,-18.98,2.39,#9467bd,0.79,16.46
TheHub-MidRoom,42.31,-18.84,2.77,#9467bd,0.79,16.46
TheHub-MidRoom,42.47,-18.58,3.15,#9467bd,0.79,16.46
TheHub-MidRoom,42.62,-18.8,3.54,#9467bd,0.79,16.46
TheHub-MidRoom,42.78,-18.94,3.93,#9467bd,0.79,16.46
TheHub-MidRoom,42.93,-18.04,4.32,#9467bd,0.79,16.46
TheHub-MidRoom,43.09,-18.2,4.71,#9467bd,0.79,16.46
TheHub-MidRoom,43.25,-18.31,5.1,#9467bd,0.79,16.46
TheHub-MidRoom,43.4,-17.81,5.5,#9467bd,0.79,16.46
TheHub-MidRoom,43.56,-17.06,5.9,#9467bd,0.79,16.46
TheHub-MidRoom,43.72,-17.86,6.3,#9467bd,0.79,16.46
TheHub-MidRoom,43.88,-17.31,6.7,#9467bd,0.79,16.46
TheHub-MidRoom,44.04,-18.55,7.11,#9467bd,0.79,16.46
TheHub-MidRoom,44.2,-17.95,7.52,#9467bd,0.79,16.46
TheHub-MidRoom,44.36,-16.65,7.93,#9467bd,0.79,16.46
TheHub-MidRoom,44.52,-17.95,8.34,#9467bd,0.79,16.46
TheHub-MidRoom,44.68,-17.82,8.75,#9467bd,0.79,16.46
TheHub-MidRoom,44.85,-17.85,9.17,#9467bd,0.79,16.46
TheHub-MidRoom,45.01,-17.47,9.59,#9467bd,0.79,16.46
TheHub-MidRoom,45.18,-18.21,10.01,#9467bd,0.79,16.46
TheHub-MidRoom,45.34,-18.29,10.43,#9467bd,0.79,16.46
TheHub-MidRoom,45.51,-16.7,10.86,#9467bd,0.79,16.46
TheHub-MidRoom,45.67,-17.98,11.29,#9467bd,0.79,16.46
TheHub-MidRoom,45.84,-17.51,11.72,#9467bd,0.79,16.46
TheHub-MidRoom,46.0,-17.64,12.15,#9467bd,0.79,16.46
TheHub-MidRoom,46.17,-16.44,12.58,#9467bd,0.79,16.46
TheHub-MidRoom,46.34,-16.54,13.02,#9467bd,0.79,16.46
TheHub-MidRoom,46.51,-17.02,13.45,#9467bd,0.79,16.46
TheHub-MidRoom,46.68,-16.7,13.89,#9467bd,0.79,16.46
TheHub-MidRoom,46.85,-16.61,14.33,#9467bd,0.79,16.46
TheHub-MidRoom,47.02,-16.72,14.78,#9467bd,0.79,16.46
TheHub-MidRoom,47.19,-16.7,15.22,#9467bd,0.79,16.46
TheHub-MidRoom,47.36,-16.83,15.67,#9467bd,0.79,16.46
TheHub-MidRoom,47.54,-16.71,16.12,#9467bd,0.79,16.46
TheHub-MidRoom,47.71,-15.72,16.57,#9467bd,0.79,16.46
TheHub-MidRoom,47.88,-16.22,17.02,#9467bd,0.79,16.46
TheHub-MidRoom,48.06,-17.25,17.47,#9467bd,0.79,16.46
TheHub-MidRoom,48.23,-16.12,17.93,#9467bd,0.79,16.46
TheHub-MidRoom,48.41,-15.59,18.38,#9467bd,0.79,16.46
TheHub-MidRoom,48.58,-15.71,18.84,#9467bd,0.79,16.46
TheHub-MidRoom,48.76,-16.5,19.3,#9467bd,0.79,16.46
TheHub-MidRoom,48.94,-16.46,19.76,#9467bd,0.79,16.46
TheHub-MidRoom,49.12,-15.4,20.23,#9467bd,0.79,16.46
TheHub-MidRoom,49.3,-15.25,20.69,#9467bd,0.79,16.46
TheHub-MidRoom,49.48,-16.04,21.16,#9467bd,0.79,16.46
TheHub-MidRoom,49.66,-16.49,21.62,#9467bd,0.79,16.46
TheHub-MidRoom,49.84,-15.26,22.09,#9467bd,0.79,16.46
TheHub-MidRoom,50.02,-15.11,22.56,#9467bd,0.79,16.46
TheHub-MidRoom,50.2,-16.3,23.03,#9467bd,0.79,16.46
TheHub-MidRoom,50.38,-15.55,23.5,#9467bd,0.79,16.46
TheHub-MidRoom,50.57,-14.57,23.97,#9467bd,0.79,16.46
TheHub-MidRoom,50.75,-15.18,24.44,#9467bd,0.79,16.46
TheHub-MidRoom,50.94,-15.63,24.92,#9467bd,0.79,16.46
TheHub-MidRoom,51.12,-15.62,25.39,#9467bd,0.79,16.46
TheHub-MidRoom,51.31,-15.24,25.87,#9467bd,0.79,16.46
TheHub-MidRoom,51.5,-15.5,26.34,#9467bd,0.79,16.46
TheHub-MidRoom,51.68,-14.62,26.82,#9467bd,0.79,16.46
TheHub-MidRoom,51.87,-14.62,27.3,#9467bd,0.79,16.46
TheHub-MidRoom,52.06,-15.13,27.77,#9467bd,0.79,16.46
TheHub-MidRoom,52.25,-14.5,28.25,#9467bd,0.79,16.46
TheHub-MidRoom,52.44,-14.39,28.73,#9467bd,0.79,16.46
TheHub-MidRoom,52.63,-14.37,29.21,#9467bd,0.79,16.46
TheHub-MidRoom,52.82,-14.81,29.69,#9467bd,0.79,16.46
TheHub-MidRoom,53.02,-14.61,30.17,#9467bd,0.79,16.46
TheHub-MidRoom,53.21,-14.39,30.65,#9467bd,0.79,16.46
TheHub-MidRoom,53.4,-14.51,31.12,#9467bd,0.79,16.46
TheHub-MidRoom,53.6,-14.2,31.6,#9467bd,0.79,16.46
TheHub-MidRoom,53.79,-14.02,32.08,#9467bd,0.79,16.46
TheHub-MidRoom,53.99,-14.21,32.56,#9467bd,0.79,16.46
TheHub-MidRoom,54.19,-13.95,33.04,#9467bd,0.79,16.46
TheHub-MidRoom,54.38,-13.49,33.52,#9467bd,0.79,16.46
TheHub-MidRoom,54.58,-13.96,33.99,#9467bd,0.79,16.46
TheHub-MidRoom,54.78,-13.7,34.47,#9467bd,0.79,16.46
TheHub-MidRoom,54.98,-13.45,34.94,#9467bd,0.79,16.46
TheHub-MidRoom,55.18,-12.72,35.42,#9467bd,0.79,16.46
TheHub-MidRoom,55.38,-13.65,35.89,#9467bd,0.79,16.46
TheHub-MidRoom,55.58,-14.6,36.37,#9467bd,0.79,16.46
TheHub-MidRoom,55.79,-13.96,36.84,#9467bd,0.79,16.46
TheHub-MidRoom,55.99,-13.25,37.31,#9467bd,0.79,16.46
TheHub-MidRoom,56.19,-12.31,37.78,#9467bd,0.79,16.46
TheHub-MidRoom,56.4,-13.06,38.25,#9467bd,0.79,16.46
TheHub-MidRoom,56.6,-12.32,38.71,#9467bd,0.79,16.46
TheHub-MidRoom,56.81,-12.61,39.18,#9467bd,0.79,16.46
TheHub-MidRoom,57.02,-13.16,39.64,#9467bd,0.79,16.46
TheHub-MidRoom,57.23,-12.98,40.1,#9467bd,0.79,16.46
TheHub-MidRoom,57.43,-12.71,40.56,#9467bd,0.79,16.46
TheHub-MidRoom,57.64,-12.93,41.02,#9467bd,0.79,16.46
TheHub-MidRoom,57.85,-12.82,41.48,#9467bd,0.79,16.46
TheHub-MidRoom,58.06,-13.27,41.93,#9467bd,0.79,16.46
TheHub-MidRoom,58.28,-11.73,42.38,#9467bd,0.79,16.46
TheHub-MidRoom,58.49,-11.7,42.83,#9467bd,0.79,16.46
TheHub-MidRoom,58.7,-12.16,43.27,#9467bd,0.79,16.46
TheHub-MidRoom,58.91,-12.05,43.72,#9467bd,0.79,16.46
TheHub-MidRoom,59.13,-11.73,44.16,#9467bd,0.79,16.46
TheHub-MidRoom,59.34,-11.76,44.59,#9467bd,0.79,16.46
TheHub-MidRoom,59.56,-11.68,45.03,#9467bd,0.79,16.46
TheHub-MidRoom,59.78,-12.85,45.46,#9467bd,0.79,16.46
TheHub-MidRoom,60.0,-12.22,45.88,#9467bd,0.79,16.46
TheHub-MidRoom,60.21,-12.53,46.31,#9467bd,0.79,16.46
TheHub-MidRoom,60.43,-10.99,46.73,#9467bd,0.79,16.46
TheHub-MidRoom,60.65,-11.78,47.15,#9467bd,0.79,16.46
TheHub-MidRoom,60.88,-11.23,47.56,#9467bd,0.79,16.46
TheHub-MidRoom,61.1,-11.23,47.97,#9467bd,0.79,16.46
TheHub-MidRoom,61.32,-11.67,48.37,#9467bd,0.79,16.46
TheHub-MidRoom,61.54,-11.46,48.77,#9467bd,0.79,16.46
TheHub-MidRoom,61.77,-11.85,49.17,#9467bd,0.79,16.46
TheHub-MidRoom,61.99,-11.8,49.56,#9467bd,0.79,16.46
TheHub-MidRoom,62.22,-11.04,49.94,#9467bd,0.79,16.46
TheHub-MidRoom,62.45,-11.22,50.33,#9467bd,0.79,16.46
TheHub-MidRoom,62.67,-10.77,50.7,#9467bd,0.79,16.46
TheHub-MidRoom,62.9,-11.19,51.07,#9467bd,0.79,16.46
TheHub-MidRoom,63.13,-10.93,51.44,#9467bd,0.79,16.46
TheHub-MidRoom,63.36,-10.9,51.8,#9467bd,0.79,16.46
TheHub-MidRoom,63.59,-11.47,52.16,#9467bd,0.79,16.46
TheHub-MidRoom,63.82,-10.63,52.51,#9467bd,0.79,16.46
TheHub-MidRoom,64.06,-11.58,52.85,#9467bd,0.79,16.46
TheHub-MidRoom,64.29,-10.86,53.19,#9467bd,0.79,16.46
TheHub-MidRoom,64.52,-11.28,53.52,#9467bd,0.79,16.46
TheHub-MidRoom,64.76,-11.69,53.84,#9467bd,0.79,16.46
TheHub-MidRoom,64.99,-10.84,54.16,#9467bd,0.79,16.46
TheHub-MidRoom,65.23,-11.4,54.48,#9467bd,0.79,16.46
TheHub-MidRoom,65.47,-11.46,54.78,#9467bd,0.79,16.46
TheHub-MidRoom,65.71,-12.02,55.08,#9467bd,0.79,16.46
TheHub-MidRoom,65.95,-11.46,55.37,#9467bd,0.79,16.46
TheHub-MidRoom,66.19,-11.67,55.65,#9467bd,0.79,16.46
TheHub-MidRoom,66.43,-11.59,55.93,#9467bd,0.79,16.46
TheHub-MidRoom,66.67,-11.51,56.2,#9467bd,0.79,16.46
TheHub-MidRoom,66.91,-11.65,56.46,#9467bd,0.79,16.46
TheHub-MidRoom,67.16,-11.15,56.72,#9467bd,0.79,16.46
TheHub-MidRoom,67.4,-12.32,56.96,#9467bd,0.79,16.46
TheHub-MidRoom,67.65,-12.06,57.2,#9467bd,0.79,16.46
TheHub-MidRoom,67.89,-11.03,57.43,#9467bd,0.79,16.46
TheHub-MidRoom,68.14,-11.09,57.65,#9467bd,0.79,16.46
TheHub-MidRoom,68.39,-12.26,57.86,#9467bd,0.79,16.46
TheHub-MidRoom,68.64,-11.68,58.07,#9467bd,0.79,16.46
TheHub-MidRoom,68.89,-11.56,58.26,#9467bd,0.79,16.46
TheHub-MidRoom,69.14,-12.27,58.45,#9467bd,0.79,16.46
TheHub-MidRoom,69.39,-12.54,58.62,#9467bd,0.79,16.46
TheHub-MidRoom,69.65,-12.16,58.79,#9467bd,0.79,16.46
TheHub-MidRoom,69.9,-11.96,58.95,#9467bd,0.79,16.46
TheHub-MidRoom,70.15,-11.83,59.09,#9467bd,0.79,16.46
TheHub-MidRoom,70.41,-12.08,59.23,#9467bd,0.79,16.46
TheHub-MidRoom,70.67,-12.3,59.36,#9467bd,0.79,16.46
TheHub-MidRoom,70.92,-11.98,59.48,#9467bd,0.79,16.46
TheHub-MidRoom,71.18,-12.03,59.58,#9467bd,0.79,16.46
TheHub-MidRoom,71.44,-11.87,59.68,#9467bd,0.79,16.46
TheHub-MidRoom,71.7,-12.79,59.77,#9467bd,0.79,16.46
TheHub-MidRoom,71.96,-12.28,59.84,#9467bd,0.79,16.46
TheHub-MidRoom,72.23,-12.77,59.91,#9467bd,0.79,16.46
TheHub-MidRoom,72.49,-12.17,59.96,#9467bd,0.79,16.46
TheHub-MidRoom,72.75,-13.08,60.01,#9467bd,0.79,16.46
TheHub-MidRoom,73.02,-12.28,60.04,#9467bd,0.79,16.46
TheHub-MidRoom,73.28,-13.34,60.06,#9467bd,0.79,16.46
TheHub-MidRoom,73.55,-13.37,60.07,#9467bd,0.79,16.46
TheHub-MidRoom,73.82,-12.59,60.06,#9467bd,0.79,16.46
